sep=,
"Start date","End date",Country,ISO,Location,Latitude,Longitude,"Magnitude value","Magnitude scale","Disaster type","Disaster subtype","Associated disaster","Associated disaster2","Total deaths","Total affected","Total damage ('000 US$)","Insured losses ('000 US$)","Disaster name","Disaster No."
02/04/2016,08/04/2016,Afghanistan,AFG,"Daykundi, Ghazni, Uruzgan provinces",,,,Km2,Flood,"Flash flood","Slide (land, mud, snow, rock)",--,30,0,0,0,,2016-0112
16/04/2016,17/04/2016,Afghanistan,AFG,"Baghlan, Daykundi, Samangan, Takhar, Badghis provinces",,,,Km2,Flood,"Flash flood",--,--,31,0,0,0,,2016-0135
09/05/2016,12/05/2016,Afghanistan,AFG,"Badakhshan (Tashkan, Baharak, Darayem, Shahada districts)",,,,Km2,Flood,--,"Slide (land, mud, snow, rock)",--,6,0,0,0,,2016-0191
19/07/2016,19/07/2016,Afghanistan,AFG,"Yaqubi, Haroonkhel districts (Khost city); Zazai Maidan district",,,,Km2,Flood,--,--,--,17,0,0,0,,2016-0309
05/02/2017,05/02/2017,Afghanistan,AFG,"Afsay Village - Barg-e-Matal district (Nuristan province), Nuristan",,,,,Landslide,Avalanche,Snow/ice,--,50,363,0,0,,2017-0026
05/02/2017,05/02/2017,Afghanistan,AFG,"Dawaz Bala (Badakhshan province)",,,,,Landslide,Avalanche,Snow/ice,--,73,0,0,0,,2017-0027
24/01/2017,25/01/2017,Afghanistan,AFG,"Darzab district (Jawzjan province); Bamyan, Shawel region (Baghlan province)",,,,Kph,Storm,"Convective storm","Cold wave","Avalanche (Snow, Debris)",31,0,0,0,,2017-0038
17/02/2017,19/02/2017,Afghanistan,AFG,"Kabul province, Kohistan, Pashtoonkot, Andkhoy, Qurmkul, Balcheragh, and Dawlat districts (Faryab province)",,,,Kph,Storm,"Convective storm","Slide (land, mud, snow, rock)",Snow/ice,36,9055,0,0,,2017-0071
17/07/2017,17/07/2017,Afghanistan,AFG,"Badakhshan (Nusay, Shekay, Kuf Ab districts), Kabul (Kabul, Khak-i-Jabbar, Sarobi districts), Nangarhar provinces (Rodat, Kulma districts)",,,,Km2,Flood,--,--,--,36,1822,0,0,,2017-0288
07/11/2016,10/11/2016,Albania,ALB,"Vlora, Fier provinces, Klos district (Mat province), Kelcyre district (Permet province), Tirane district (Tirane province)",42.254,19.446,16543.1,Km2,Flood,--,--,--,2,4500,0,0,,2016-0420
20/01/2017,20/01/2017,Albania,ALB,"Peshkopi, Bulqiza, Kukes, Puka, Skhodra, Mirdita and Pogradec",,,,°C,"Extreme temperature ","Severe winter conditions",Snow/ice,--,6,0,0,0,,2017-0010
30/11/2017,04/12/2017,Albania,ALB,"Fushë- Krujë, Ura e Gjoles (Fushë- Krujë), Murqine (Bubq), Vore, Kamez, Laprake (Tirane), Darzeze (Pishaj), Jaru, Bishtan (Novosele), Ferras (Frakull), Kashisht (Cakran), Martin, Novosele, Bishan, Mifol (Novosele), Fitore (Miras), Ure Vajgurore, Korce, Gjirokaster, Kashar, Marikaj (Vore), Laknas (Kamez), Bardhaj (Rrethinat), Roskovec, Dropoll",449.847,152.152,10463.39,Km2,Flood,"Flash flood","Slide (land, mud, snow, rock)",--,1,21002,8900,0,,2017-0504
16/01/2017,20/01/2017,Algeria,DZA,"Eastern, Central, high plateau regions. Municipalities of Batna, Biskra, Tizi-Ouzou, Sétif, Souk-Ahras, Laghouat, Jijel, Constantine, Médéa, Djelfa, Tissemsilt, Khenchla, Mila, Oum el Bouaghi, Tébéssa, Bouira, Bordj Bou Arreridj, El Taref, El Bayad, Bejaia, Saida and Gueulma.",,,,°C,"Extreme temperature ","Cold wave",Snow/ice,--,0,125000,0,0,,2017-0033
29/02/2016,01/03/2016,Angola,AGO,"Lubango city (Lubango district, Huila province)",,,,Km2,Flood,"Flash flood",--,--,54,0,0,0,,2016-0056
03/03/2016,06/03/2016,Angola,AGO,"Sumbe district (Cuanza Sul province), Cacolo, Dala, Saurimo districts (Lunda Sul province)",,,,Km2,Flood,"Flash flood",--,--,6,2755,0,0,,2016-0088
16/04/2016,22/04/2016,Angola,AGO,"Viana, Cacuaco, Belas (Viana), Cazenga and urban districts of Ingombota, Kilamba Kiaxi, Rangel, Maianga (Luanda), Ceramina, Mateba, Paraiso, Augusto Ngangula municiplalities",-832.104,13.98,59745.82,Km2,Flood,"Flash flood",--,--,23,5600,0,0,,2016-0131
01/03/2016,10/03/2016,Angola,AGO,"Cuanza Sul, Lunda Sul provinces",-115.936,160.56,277015.44,Km2,Flood,--,--,--,30,1544,0,0,,2016-0247
21/03/2017,08/04/2017,Angola,AGO,"Luanda province",-8.718,13.656,24002.58,Km2,Flood,"Flash flood",--,--,11,30250,2000,0,,2017-0109
06/09/2017,06/09/2017,Anguilla,AIA,,,,,Kph,Storm,"Tropical cyclone",--,--,4,15000,200000,6700,"Hurricane 'Irma'",2017-0381
06/09/2017,06/09/2017,"Antigua and Barbuda",ATG,"Barbuda, St John and St George districts (Crosbies, Fort Road, Clare Hall, Grays Farm, Pigotts) (Antigua)",,,295,Kph,Storm,"Tropical cyclone",--,--,1,1400,250000,6800,"Hurricane 'Irma'",2017-0381
04/04/2016,15/04/2016,Argentina,ARG,"Entre Rios, Corrientes, Santa Fe, Chaco, Formosa, Santiago del Estero, Buenos Aires, Cardoba provinces",,,,Km2,Flood,"Riverine flood",--,--,0,72119,1000000,50000,,2016-0127
25/12/2016,26/12/2016,Argentina,ARG,"Pergamino, Ramallo, Colón, Arrecifes, Rojas, Salto, San Nicolás, Florentino Ameghino, General Villegas, Baradero, San Antonio de Areco (Buenos Aires); Jovita (General Roca), Villa Dolores (San Javier), La Cumbre, La Falda, Villa Giardini (Punilla), Rio Ceballos, Salsipuedes, Agua de Oro, Jesús María, Colonia Caroya (Colon) (Córdoba); Maria Teresa (General Lopez), Allvarez (Rosario) (Santa Fe) ; La Paz, Parana (Entre Rios)",,,,Km2,Flood,"Riverine flood",Storm,Hail,0,13650,2000,0,,2016-0519
10/01/2017,10/01/2017,Argentina,ARG,"Jujuy Province; Volcán, Bárcenas, Purmamarca (Tumbaya department); León (Dr Manuel Belgrano), Santa Barbara, San Martín (Ledesma), Tumbaya, Humahuaca",,,,,Landslide,Landslide,--,--,0,2666,0,0,,2017-0031
