identifier,source_id,source,web,onset,expires,location_name,country,continent,latitude,longitude,Type: Coastal Flood,Type: Flash Flood,Type: Inland Flood,Type: River Flood,Type: Storm Surge,Type: Unknown,Type: Landslide,Cause: Dam Break,Cause: Extreme Rainfall,Cause: Ice Jam,Cause: High Tide,Cause: Long Term Rainfall,Cause: Reservoir Release,Cause: Snowmelt,Cause: Soil Saturation,Cause: Storm Surge,Cause: Tsunami,Cause: Unknown,affected_quantitative,agriculture_quantitative,communications_quantitative,cultural_heritage_quantitative,death_quantitative,education_quantitative,environment_description,environment_quantitative,evacuated_quantitative,forest_quantitative,health_sector_quantitative,heritage_quantitative,houses_damaged_quantitative,houses_destroyed_quantitative,industry_quantitative,injured_quantitative,magnitude_description,missing_quantitative,roads_quantitative,spatial_extent_quantitative,transport_quantitative
1.0,18172,FloodList,http://floodlist.com/asia/philippines-nasa-maps-typhoon-nock-tens-rainfall,2016-12-25T00:00:00,2016-12-28T00:00:00,Occidental Mindoro,Philippines,Asia,13.1024111,120.76512839999998,N,N,N,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,,,,,,,,,Unknown location - 127012.0 people,,,,,,,,"Calapan, Oriental Mindoro - rainfall = 110.4 mm in 24 hours; Calayan, Cagayan - rainfall = 119.8 mm in 24 hours",,,,
2.0,18172,FloodList,http://floodlist.com/asia/philippines-nasa-maps-typhoon-nock-tens-rainfall,2016-12-25T00:00:00,2016-12-28T00:00:00,Albay province,Philippines,Asia,13.1774827,123.52800720000005,N,N,N,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,,,,,,,,,Unknown location - 127012.0 people,,,,,,,,"Calapan, Oriental Mindoro - rainfall = 110.4 mm in 24 hours; Calayan, Cagayan - rainfall = 119.8 mm in 24 hours",,,,
3.0,18166,FloodList,http://floodlist.com/australia/record-breaking-rain-causes-floods-uluru-northern-territories,2016-12-25T00:00:00,2016-12-28T00:00:00,Kintore,Australia,Oceania,-23.276389,129.39027799999997,N,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,,,,,,,,,Kintore - 96.0 people,,,,,,,,Walungurru district - rainfall = 231.6 mm in 24 hours,Unknown location - 8.0 people,,,
4.0,18166,FloodList,http://floodlist.com/australia/record-breaking-rain-causes-floods-uluru-northern-territories,2016-12-25T00:00:00,2016-12-28T00:00:00,Uluru,Australia,Oceania,-25.3437797,131.03465140000003,N,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,,,,,,,,,Kintore - 96.0 people,,,,,,,,Walungurru district - rainfall = 231.6 mm in 24 hours,Unknown location - 8.0 people,,,
5.0,18164,FloodList,http://floodlist.com/asia/indonesia-floods-bima-west-nusa-tenggara,2016-12-21T00:00:00,2016-12-26T00:00:00,East Rasanae,Indonesia,Asia,-8.4883783,118.82472200000007,N,N,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,,,,,,,,,Bima - 100000.0 people,,,,,,,,,,,,
6.0,18164,FloodList,http://floodlist.com/asia/indonesia-floods-bima-west-nusa-tenggara,2016-12-21T00:00:00,2016-12-26T00:00:00,Mpuda,Indonesia,Asia,-8.4708171,118.73729219999996,N,N,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,,,,,,,,,Bima - 100000.0 people,,,,,,,,,,,,
7.0,18164,FloodList,http://floodlist.com/asia/indonesia-floods-bima-west-nusa-tenggara,2016-12-21T00:00:00,2016-12-26T00:00:00,Raba,Indonesia,Asia,-8.5569031,118.88880640000002,N,N,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,,,,,,,,,Bima - 100000.0 people,,,,,,,,,,,,
8.0,18164,FloodList,http://floodlist.com/asia/indonesia-floods-bima-west-nusa-tenggara,2016-12-21T00:00:00,2016-12-26T00:00:00,Rasanae West,Indonesia,Asia,-8.4547815,118.72271590000003,N,N,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,,,,,,,,,Bima - 100000.0 people,,,,,,,,,,,,
9.0,18164,FloodList,http://floodlist.com/asia/indonesia-floods-bima-west-nusa-tenggara,2016-12-21T00:00:00,2016-12-26T00:00:00,Asakota,Indonesia,Asia,-8.4153936,118.75478199999998,N,N,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,,,,,,,,,Bima - 100000.0 people,,,,,,,,,,,,
10.0,18162,FloodList,http://floodlist.com/america/argentina-floods-santa-fe-buenos-aires-december-2016,2016-12-25T00:00:00,2016-12-30T00:00:00,"Pergamino,  Buenos Aires Province",Argentina,South America,-33.8912831,-60.57459990000001,N,N,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,,,,,Ramallo - 1.0 people,,,,"Pergamino, Buenos Aires - 300.0 people; Arrecifes, Buenos Aires - 150.0 people; Maria Teresa and Alvarez, Santa Fe - 200.0 people",,,,,,,,"Marcos Juarez, Cordoba - rainfall = 86.0 mm in 24 hours; Gualeguaychu, Entre Rios - rainfall = 68.0 mm in 24 hours; Reconquista, Santa Fe - rainfall = 62.0 mm in 24 hours",,,,
11.0,18162,FloodList,http://floodlist.com/america/argentina-floods-santa-fe-buenos-aires-december-2016,2016-12-25T00:00:00,2016-12-30T00:00:00,"Arrecifes,  Buenos Aires Province",Argentina,South America,-34.06278229999999,-60.1027115,N,N,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,,,,,Ramallo - 1.0 people,,,,"Pergamino, Buenos Aires - 300.0 people; Arrecifes, Buenos Aires - 150.0 people; Maria Teresa and Alvarez, Santa Fe - 200.0 people",,,,,,,,"Marcos Juarez, Cordoba - rainfall = 86.0 mm in 24 hours; Gualeguaychu, Entre Rios - rainfall = 68.0 mm in 24 hours; Reconquista, Santa Fe - rainfall = 62.0 mm in 24 hours",,,,
12.0,18162,FloodList,http://floodlist.com/america/argentina-floods-santa-fe-buenos-aires-december-2016,2016-12-25T00:00:00,2016-12-30T00:00:00,Ramallo,Argentina,South America,-33.4850695,-60.00455310000001,N,N,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,,,,,Ramallo - 1.0 people,,,,"Pergamino, Buenos Aires - 300.0 people; Arrecifes, Buenos Aires - 150.0 people; Maria Teresa and Alvarez, Santa Fe - 200.0 people",,,,,,,,"Marcos Juarez, Cordoba - rainfall = 86.0 mm in 24 hours; Gualeguaychu, Entre Rios - rainfall = 68.0 mm in 24 hours; Reconquista, Santa Fe - rainfall = 62.0 mm in 24 hours",,,,
